,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
2,MLP Classifier,0.6379,0.5581,0.1573,0.66,0.2515,0.1219,0.176,0.014
4,Ada Boost Classifier,0.669,0.6047,0.1879,0.6917,0.2839,0.1613,0.2185,0.024
