,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
2,Gradient Boosting Classifier,0.6379,0.5539,0.1573,0.66,0.2515,0.1219,0.176,0.538
4,Logistic Regression,0.669,0.6042,0.1974,0.6867,0.2923,0.1651,0.2199,0.004
