,accuracy,precision,recall,f1_score,auc,specificity,mcc,bestCutoff
stacking__3,0.6,0.0,0.0,0.0,0.4772727272727273,0.9545454545454546,-0.13183201107616097,0.5
stacking__5,0.6,0.0,0.0,0.0,0.4772727272727273,0.9545454545454546,-0.13183201107616097,0.5
stacking__7,0.6,0.0,0.0,0.0,0.4772727272727273,0.9545454545454546,-0.13183201107616097,0.5
stacking__9,0.6,0.0,0.0,0.0,0.4772727272727273,0.9545454545454546,-0.13183201107616097,0.5
stacking__11,0.6,0.0,0.0,0.0,0.4772727272727273,0.9545454545454546,-0.13183201107616097,0.5
