,accuracy,precision,recall,f1_score,auc,specificity,mcc,bestCutoff
voting_3,0.6,0.0,0.0,0.0,0.4772727272727273,0.9545454545454546,-0.13183201107616097,0.5
voting_5,0.6,0.0,0.0,0.0,0.4772727272727273,0.9545454545454546,-0.13183201107616097,0.5
voting_7,0.6,0.0,0.0,0.0,0.4772727272727273,0.9545454545454546,-0.13183201107616097,0.5
voting_9,0.6,0.0,0.0,0.0,0.4772727272727273,0.9545454545454546,-0.13183201107616097,0.5
voting_11,0.6,0.0,0.0,0.0,0.4772727272727273,0.9545454545454546,-0.13183201107616097,0.5
