iter	Logloss
122	0.6523322291
123	0.6522129369
124	0.6520419338
125	0.6519252596
126	0.6518057409
127	0.6516402497
128	0.6514805656
129	0.6513143604
130	0.6511601001
131	0.6510466349
132	0.6508930282
133	0.6507384103
134	0.6506327235
135	0.6504852659
136	0.650331394
137	0.6502323925
138	0.6501289196
139	0.6499834515
140	0.6498432186
141	0.6496984608
142	0.6495585145
143	0.6494673112
144	0.6493737915
145	0.6492362252
146	0.6490994817
147	0.6490104381
148	0.6488810165
149	0.648788234
150	0.6486599472
151	0.6485756957
152	0.6484495893
153	0.6483249904
154	0.6482015887
155	0.6480849934
156	0.6480010146
157	0.6478827209
158	0.6478008056
159	0.6476877926
160	0.6475696254
161	0.6474594744
162	0.6473810036
163	0.6473064408
164	0.647194321
165	0.6470832941
166	0.6469799145
167	0.6468713857
168	0.6467640554
169	0.6466966005
170	0.6465907207
171	0.6465236958
172	0.6464555622
173	0.6463886583
174	0.646324265
175	0.6462232241
176	0.6461586104
177	0.6460619065
178	0.6459669291
179	0.6459017341
180	0.6458379491
181	0.6457481931
182	0.6456545458
183	0.645568761
184	0.6454776185
185	0.6454177187
186	0.6453612369
187	0.6453041627
188	0.6452180813
189	0.6451327283
190	0.6450785195
191	0.6450232552
192	0.6449690999
193	0.6448862901
194	0.6448055226
195	0.644752973
196	0.6446712498
197	0.6446215731
198	0.64454571
199	0.6444664824
200	0.6444174186
201	0.6443418495
202	0.6442927757
203	0.6442456935
204	0.6441721042
205	0.6440976688
206	0.6440282126
207	0.6439568616
208	0.6439119013
209	0.6438663622
210	0.6438239682
211	0.6437570558
212	0.6437098257
213	0.6436423259
214	0.6436010157
215	0.6435583343
216	0.6434943905
217	0.6434334817
218	0.6433695275
219	0.6433018406
220	0.6432417589
221	0.6431997846
222	0.6431654728
223	0.6431052197
224	0.6430450655
225	0.6429838586
226	0.642944381
227	0.6429071585
228	0.6428736551
229	0.6428397378
230	0.6427807154
231	0.6427267738
232	0.6426873792
233	0.6426584735
234	0.6426005352
235	0.6425450585
236	0.6424938275
237	0.642438866
238	0.6423885708
239	0.6423592238
240	0.6423248018
241	0.6422768044
242	0.6422439491
243	0.642191223
244	0.6421419564
245	0.642095991
246	0.6420690343
247	0.6420181303
248	0.6419907502
249	0.6419409935
250	0.6418937002
251	0.6418513338
252	0.6418052932
253	0.6417792582
254	0.6417314278
255	0.6416906764
256	0.6416639732
257	0.6416192817
258	0.6415959092
259	0.6415531518
260	0.6415114413
261	0.6414671578
262	0.6414458448
263	0.6414049126
264	0.641380372
265	0.6413417929
266	0.6413024279
267	0.6412631117
268	0.6412375373
269	0.641199632
270	0.6411660768
271	0.6411244934
272	0.641103004
273	0.6410830319
274	0.6410474245
275	0.641010868
276	0.6409919111
277	0.6409673171
278	0.640934951
279	0.640900486
280	0.6408813942
281	0.6408438278
282	0.6408102454
283	0.6407787072
284	0.6407477976
285	0.6407130025
286	0.6406839739
287	0.6406610117
288	0.6406472584
289	0.6406249526
290	0.6406090638
291	0.6405919151
292	0.6405627205
293	0.6405304807
294	0.6404979262
295	0.640468567
296	0.640443454
297	0.6404265916
298	0.6403984882
299	0.6403673383
300	0.6403406456
301	0.6403242683
302	0.6402934807
303	0.6402677797
304	0.6402504014
305	0.6402376884
306	0.6402111436
307	0.6401850175
308	0.6401727728
309	0.640155892
310	0.6401296037
311	0.6401042571
312	0.6400788572
313	0.6400647525
314	0.64003746
315	0.6400145207
316	0.6400008859
317	0.6399877212
318	0.6399659316
319	0.6399377413
320	0.639912644
321	0.6398926346
322	0.6398774706
323	0.6398671324
324	0.6398552707
325	0.6398338404
326	0.6398198798
327	0.6398087656
328	0.6397859137
329	0.6397661568
330	0.6397398922
331	0.6397299663
332	0.6397198282
333	0.6397015332
334	0.6396760522
335	0.639659383
336	0.6396368361
337	0.6396234039
338	0.6396044748
339	0.6395958124
340	0.6395841591
341	0.6395763744
342	0.6395562869
343	0.6395350958
344	0.6395188899
345	0.6395013688
346	0.6394895515
347	0.6394799251
348	0.6394687248
349	0.6394517775
350	0.6394446142
351	0.6394260929
352	0.6394160941
353	0.6394078399
354	0.6393895235
355	0.6393724684
356	0.6393650375
357	0.639346037
358	0.6393293423
359	0.6393117037
360	0.6392929634
361	0.6392870101
362	0.6392712047
363	0.6392542448
364	0.6392380706
365	0.6392280125
366	0.6392146677
367	0.6391979661
368	0.639183154
369	0.6391660829
370	0.6391627337
371	0.6391435118
372	0.6391287998
373	0.6391126178
374	0.6391002658
375	0.6390913634
376	0.6390849798
377	0.6390703673
378	0.6390605299
379	0.6390515202
380	0.6390391119
381	0.6390256515
382	0.6390192625
383	0.6390110889
384	0.6390034397
385	0.6389987291
386	0.6389934913
387	0.6389812882
388	0.6389747896
389	0.6389669801
390	0.6389558224
391	0.6389445065
392	0.6389340124
393	0.6389214357
394	0.6389132679
395	0.63890466
396	0.6388986218
397	0.6388959411
398	0.6388833114
399	0.6388707832
400	0.6388645441
401	0.6388491295
402	0.6388399048
403	0.6388297366
404	0.6388175234
405	0.6388039959
406	0.6387918314
407	0.6387899386
408	0.6387744176
409	0.6387685835
410	0.6387581502
411	0.6387510712
412	0.6387384846
413	0.6387254258
414	0.6387166156
415	0.6387060716
416	0.6386943234
417	0.6386915344
418	0.6386778443
419	0.6386706032
420	0.6386666615
421	0.6386565365
422	0.6386459371
423	0.6386362816
424	0.6386238994
425	0.638624039
426	0.6386123909
427	0.6386023154
428	0.6385956348
429	0.6385934675
430	0.6385842282
431	0.6385804934
432	0.6385694682
433	0.6385655212
434	0.6385585373
435	0.6385501349
436	0.6385401088
437	0.6385390918
438	0.6385331955
439	0.6385257916
440	0.638523204
441	0.6385190909
442	0.6385151409
443	0.6385107656
444	0.6385057117
445	0.638502186
446	0.6384955017
447	0.63848484
448	0.6384819879
449	0.6384757347
450	0.6384699505
451	0.638461702
452	0.6384536101
453	0.6384440497
454	0.6384343295
455	0.6384326308
456	0.6384219143
457	0.6384163903
458	0.6384089262
459	0.6384017749
460	0.638393838
461	0.6383888333
462	0.6383853441
463	0.638387258
464	0.6383772736
465	0.638372796
466	0.6383613425
467	0.6383547668
468	0.6383526938
469	0.6383462754
470	0.6383447252
471	0.6383355783
472	0.6383352385
473	0.638326719
474	0.638321979
475	0.6383108896
476	0.6383057274
477	0.6382988862
478	0.63829236
479	0.6382923343
480	0.6382883712
481	0.6382792745
482	0.6382757881
483	0.6382712015
484	0.6382616304
485	0.6382555222
486	0.6382491004
487	0.638243305
488	0.6382370386
489	0.6382293022
490	0.638225555
491	0.6382193402
492	0.6382137034
493	0.6382145085
494	0.6382041506
495	0.6381997714
496	0.6381939215
497	0.6381888064
498	0.6381844213
499	0.6381864869
500	0.6381837794
501	0.6381752014
502	0.6381775265
503	0.6381676381
504	0.6381677629
505	0.6381684615
506	0.638163081
507	0.638157437
508	0.6381576132
509	0.6381558989
510	0.6381534524
511	0.6381471801
512	0.6381457338
513	0.6381378369
514	0.6381351337
515	0.6381318448
516	0.6381314422
517	0.6381225472
518	0.6381238756
519	0.6381240497
520	0.6381192448
521	0.6381138634
522	0.638107689
523	0.6381073948
524	0.6381005958
525	0.6380945318
526	0.638092928
527	0.6380889046
528	0.6380851491
529	0.6380817588
530	0.63807674
531	0.6380751791
532	0.6380701112
533	0.6380656722
534	0.6380656922
535	0.638060937
536	0.6380542417
537	0.6380472325
538	0.6380471994
539	0.6380394535
540	0.6380410406
541	0.6380320912
542	0.6380298025
543	0.6380279253
544	0.6380246918
545	0.6380247043
546	0.6380198938
547	0.6380158198
548	0.6380158883
549	0.638009979
550	0.6380085739
551	0.6380061224
552	0.6380051422
553	0.6380018521
554	0.6379975601
555	0.6379962128
556	0.6379942367
557	0.6379884258
558	0.6379857686
559	0.6379870905
560	0.637982278
561	0.6379827065
562	0.6379785793
563	0.6379738222
564	0.6379689587
565	0.6379691824
566	0.6379693536
567	0.6379630206
568	0.6379562694
569	0.6379553414
570	0.6379493216
571	0.6379510114
572	0.6379495515
573	0.6379463164
574	0.6379442324
575	0.6379360083
576	0.6379380133
577	0.6379398076
578	0.6379355734
579	0.6379308089
580	0.6379319724
581	0.6379273182
582	0.6379273326
583	0.6379219913
584	0.6379207929
585	0.637921385
586	0.6379159414
587	0.6379132238
588	0.6379125557
589	0.6379069023
590	0.637905919
591	0.6379019934
592	0.6379052549
593	0.6379031646
594	0.6378998198
595	0.6378967896
596	0.6378934952
597	0.6378906747
598	0.6378917854
599	0.6378886488
600	0.6378848835
601	0.6378795462
602	0.6378791867
603	0.6378802454
604	0.6378806249
605	0.6378795828
606	0.6378749221
607	0.6378741437
608	0.6378736783
609	0.6378777263
610	0.6378763181
611	0.6378750667
612	0.6378735546
613	0.6378721983
614	0.6378692152
615	0.6378685974
616	0.6378655652
617	0.6378640507
618	0.6378617016
619	0.6378589849
620	0.6378587304
621	0.6378574241
622	0.6378542346
623	0.6378489473
624	0.6378505292
625	0.6378461842
626	0.6378473497
627	0.6378425319
628	0.6378372973
629	0.6378367306
630	0.6378373139
631	0.637837217
632	0.6378366458
633	0.6378328216
634	0.637831415
635	0.6378303733
636	0.6378282329
637	0.6378267214
638	0.6378271444
639	0.6378247394
640	0.6378216509
641	0.6378205573
642	0.6378186266
643	0.6378160655
644	0.6378143392
645	0.6378154478
646	0.6378130967
647	0.6378089603
648	0.6378065565
649	0.6378069825
650	0.6378084051
651	0.6378065216
652	0.6378027519
653	0.6378021341
654	0.6377980459
655	0.6377973722
656	0.6377924518
657	0.6377917232
658	0.6377891071
659	0.6377889014
660	0.6377890128
661	0.6377885489
662	0.6377900225
663	0.6377831601
664	0.6377870449
665	0.6377857405
666	0.6377840133
667	0.6377821313
668	0.6377820862
669	0.6377793657
670	0.6377812585
671	0.6377744994
672	0.6377720935
673	0.6377721008
674	0.6377693794
675	0.6377664476
676	0.6377656662
677	0.6377678759
678	0.6377655761
679	0.6377608621
680	0.6377579313
681	0.6377585171
682	0.6377541141
683	0.6377555374
684	0.6377509253
685	0.6377551266
686	0.6377511985
687	0.6377493668
688	0.6377497384
689	0.6377487476
690	0.637748959
691	0.6377467642
692	0.6377416292
693	0.6377420046
694	0.6377419024
695	0.6377398649
696	0.6377399233
697	0.6377334231
698	0.6377372583
699	0.6377304987
700	0.6377281956
701	0.6377286207
702	0.6377261083
703	0.637724119
704	0.6377258027
705	0.6377258588
706	0.6377242883
707	0.6377263927
708	0.6377230929
709	0.6377207889
710	0.6377170725
711	0.6377180722
712	0.6377166077
713	0.6377180818
714	0.6377135231
715	0.6377122163
716	0.6377073978
717	0.6377077721
718	0.6377052041
719	0.6377063131
720	0.6377023836
721	0.6377041714
722	0.637699402
723	0.6376996181
724	0.6376954758
725	0.6376960596
726	0.6376951209
727	0.6376911399
728	0.637690985
729	0.6376913572
730	0.6376916224
731	0.6376845477
732	0.6376838152
733	0.6376837667
734	0.6376837718
735	0.6376825703
736	0.6376823651
737	0.6376811626
738	0.6376803267
739	0.6376787057
740	0.6376721002
741	0.6376708471
742	0.637674523
743	0.637673895
744	0.6376710141
745	0.6376698126
746	0.6376677712
747	0.6376660444
748	0.6376634766
749	0.637667467
750	0.6376650562
751	0.6376625953
752	0.6376605513
753	0.6376593489
754	0.6376611885
755	0.6376586218
756	0.6376566329
757	0.6376579461
758	0.6376550625
759	0.6376560602
760	0.6376593165
761	0.6376551243
762	0.6376519797
763	0.6376546565
764	0.637652248
765	0.6376538246
766	0.6376500537
767	0.6376519421
768	0.6376479604
769	0.6376503226
770	0.6376458133
771	0.6376470267
772	0.637648916
773	0.6376458763
774	0.6376461395
775	0.6376427324
776	0.6376427324
777	0.6376436306
778	0.6376446308
779	0.6376401217
780	0.6376423769
781	0.6376434816
782	0.6376375584
783	0.6376419121
784	0.6376374566
785	0.6376385063
786	0.6376387205
787	0.6376389348
788	0.6376396708
789	0.63763453
790	0.6376361066
791	0.6376363182
792	0.6376346967
793	0.6376365879
794	0.6376358548
795	0.6376342825
796	0.6376330775
797	0.6376322425
798	0.6376324542
799	0.6376321442
800	0.6376305202
801	0.6376293182
802	0.6376295838
803	0.6376226616
804	0.6376227175
805	0.6376211466
806	0.6376208864
807	0.6376205708
808	0.6376196319
809	0.637617169
810	0.6376157554
811	0.6376157554
812	0.6376148689
813	0.6376149749
814	0.637612775
815	0.637612775
816	0.6376111526
817	0.6376113614
818	0.6376094253
819	0.6376125215
820	0.63761095
821	0.6376088561
822	0.6376068666
823	0.6376062908
824	0.6376026724
825	0.6376067693
826	0.6376034135
827	0.6376038865
828	0.6376056198
829	0.6376033137
830	0.6376052549
831	0.6376014286
832	0.6375994907
833	0.6376008584
834	0.6375982391
835	0.6375958825
836	0.6375966701
837	0.6375932124
838	0.6375914297
839	0.637593216
840	0.6375902293
841	0.6375917028
842	0.6375868251
843	0.6375845205
844	0.6375856236
845	0.6375820592
846	0.6375829019
847	0.6375829564
848	0.6375803347
849	0.637580965
850	0.6375826489
851	0.6375783498
852	0.6375791398
853	0.6375769876
854	0.6375748931
855	0.6375763079
856	0.637576259
857	0.6375729046
858	0.6375725401
859	0.6375724868
860	0.63757401
861	0.6375712843
862	0.6375700294
863	0.6375711864
864	0.6375667815
865	0.6375658396
866	0.6375633777
867	0.6375633777
868	0.6375633777
869	0.6375644293
870	0.6375634862
871	0.6375640653
872	0.6375612863
873	0.6375613395
874	0.6375597708
875	0.637560032
876	0.6375604544
877	0.6375573084
878	0.6375573084
879	0.6375595127
880	0.6375590434
881	0.6375591481
882	0.6375595193
883	0.6375576317
884	0.6375535943
885	0.6375553785
886	0.6375544363
887	0.637552603
888	0.6375526065
889	0.6375511393
890	0.6375497785
891	0.6375498844
892	0.6375454799
893	0.6375439085
894	0.637546743
895	0.6375457496
896	0.6375442806
897	0.6375429207
898	0.6375397213
899	0.6375383609
900	0.6375370525
901	0.637536267
902	0.6375396792
903	0.6375348028
904	0.6375382132
905	0.6375335465
906	0.6375335465
907	0.6375321324
908	0.6375319765
909	0.637533551
910	0.6375344424
911	0.6375339726
912	0.6375330288
913	0.6375315616
914	0.6375280519
915	0.637528051
916	0.6375297828
917	0.6375276331
918	0.6375287896
919	0.6375287363
920	0.6375258018
921	0.6375280595
922	0.6375257524
923	0.6375239722
924	0.6375242877
925	0.637524234
926	0.6375222428
927	0.6375253395
928	0.6375223517
929	0.6375213031
930	0.6375219886
931	0.6375193685
932	0.637519367
933	0.6375192632
934	0.6375182169
935	0.6375163269
936	0.6375175877
937	0.6375158575
938	0.6375136044
939	0.6375136044
940	0.6375136044
941	0.6375140777
942	0.6375117197
943	0.6375109862
944	0.6375137701
945	0.6375117222
946	0.6375134556
947	0.6375103104
948	0.6375110999
949	0.6375087381
950	0.6375099474
951	0.6375068538
952	0.6375082177
953	0.6375061738
954	0.6375022945
955	0.6375045507
956	0.6375008818
957	0.6375017738
958	0.6375009362
959	0.6375013568
960	0.6375026701
961	0.6375021984
962	0.6374975841
963	0.6374993163
964	0.6375002083
965	0.6374977958
966	0.6374992155
967	0.6374938671
968	0.6374955989
969	0.6374921389
970	0.6374932406
971	0.6374950773
972	0.6374889963
973	0.6374889963
974	0.637490466
975	0.6374916741
976	0.6374885275
977	0.6374890519
978	0.6374903127
979	0.6374862743
980	0.6374860136
981	0.6374871177
982	0.6374869075
983	0.6374820302
984	0.6374827673
985	0.6374802509
986	0.6374818778
987	0.6374842389
988	0.6374783138
989	0.6374822474
990	0.6374799916
991	0.6374828247
992	0.6374783148
993	0.6374787891
994	0.6374784232
995	0.63747942
996	0.637474492
997	0.6374760141
998	0.6374773774
999	0.6374751223
